 , ,BOMBAY / COLABA,INDIA (STATIONS SOUTH OF LATITUDE 20~N),Lat:18.90N,Long:72.82E,Height:9 (m) ,
Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal, SPI 3-Month, SPI 6-Month, SPI 12-Month
,,[degC],[degC],[degC],[mm],[degC],[mm])
1982, 6, 29.7, , , 477, 29.3, 518.0, -0.27, -0.36, 0.04
1982, 7, 27.8, , , 651, 27.8, 729.3, -0.4, -0.49, 0.16
1982, 8, 27.5, , , 457, 27.4, 505.1, -0.35, -0.44, 0.34
1982, 9, 27.9, , , 122, 27.8, 315.1, -0.53, -0.67, -0.73
1982, 10, 29.8, , , 0, 28.9, 82.2, -0.62, -0.78, -0.77
1982, 11, 28.3, , , 29, 28.4, 12.1, -1.06, -0.79, -0.74
1982, 12, 26.9, , , 0, 26.5, 1.8, -0.51, -0.62, -0.74
1983, 1, 24.2, , , 0, 24.9, 0.9, 0.94, -0.54, -0.74
1983, 2, 23.7, , , 0, 25.3, 0.3, -0.63, -1.09, -0.78
1983, 3, 25.7, , , 0, 27.1, 0.9, -0.53, -0.54, -0.77
1983, 4, 27.3, , , 7, 28.9, 0.6, 1.05, 1.04, -0.76
1983, 5, 29.9, , , 0, 30.5, 15.6, 0.16, -0.1, -0.78
1983, 6, 29.6, , , 495, 29.3, 518.0, -0.19, -0.28, -0.7
1983, 7, 27.9, , , 997, 27.8, 729.3, 0.55, 0.49, 0
1983, 8, 27.3, , , 1188, 27.4, 505.1, 1.77, 1.72, 1.21
1983, 9, 27.3, , , 557, 27.8, 315.1, 2.34, 2.06, 1.99
1983, 10, 27.9, , , 115, 28.9, 82.2, 2.22, 2.07, 2.11
1983, 11, 26.9, , , 54, 28.4, 12.1, 1.43, 2.27, 2.21
1983, 12, 25.4, , , 0, 26.5, 1.8, 1.06, 2.32, 2.2
1984, 1, 23.1, , , 0, 24.9, 0.9, 1.52, 2.27, 2.2
1984, 2, , , , , 25.3, 0.3, , , 
1984, 3, 28.2, , , 3, 27.1, 0.9, , , 
1984, 4, 29.8, , , 0, 28.9, 0.6, , , 
1984, 5, 30.5, , , 0, 30.5, 15.6, -0.1, , 
1984, 6, 28.9, , , 579, 29.3, 518.0, 0.11, , 
1984, 7, 27.1, , , 1110, 27.8, 729.3, 1.01, , 
1984, 8, , , , , 27.4, 505.1, , , 
1984, 9, 27.3, , , 363, 27.8, 315.1, , , 
1984, 10, 28.2, , , 14, 28.9, 82.2, , , 
1984, 11, 27.9, , , 0, 28.4, 12.1, 0.23, , 
1984, 12, 26.0, , , 0, 26.5, 1.8, -0.96, , 
1985, 1, 23.9, , , 0, 24.9, 0.9, -0.99, , 
1985, 2, 24.9, , , 0, 25.3, 0.3, -0.63, 0.21, 
1985, 3, 27.7, , , 0, 27.1, 0.9, -0.53, -0.99, 
1985, 4, 28.7, , , 0, 28.9, 0.6, -0.62, -1.35, 
