Months,Year,Demand,Consumption,Conections,Wards,Total Population,Slum Population,Non-slum Population,Rainfal(in mm)
1,2014,37940409.89,2655046.996,9703,T,349587,87596,261991,0
2,2014,37811107.44,2647108.576,9739,T,349916,87678,262238,0
3,2014,38005061.11,2655046.996,9739,T,350245,87760,262484,0
4,2014,38134363.56,2662985.417,9775,T,350574,87843,262731,0
5,2014,38392968.45,2678862.257,9775,T,350903,87925,262977,0
6,2014,38263666.01,2670923.837,9775,T,351232,88008,263224,571.5
7,2014,38262372.98,2670844.453,9775,T,351560,88090,263470,571.5
8,2014,38133070.53,2662906.032,9775,T,351889,88173,263717,571.5
9,2014,38120140.29,2662112.19,9775,T,352218,88255,263963,571.5
10,2014,38055489.06,2658142.98,9775,T,352547,88337,264210,0
11,2014,37796884.17,2642266.139,9775,T,352876,88420,264456,0
12,2014,37921014.52,2689579.125,9775,T,353205,88502,264703,0
1,2015,43908393.11,2703780.337,9775,T,353540,88586,264954,0
2,2015,44037695.56,2711718.757,9775,T,353876,88670,265206,0
3,2015,44166998.01,2719657.178,9775,T,354211,88754,265457,0
4,2015,44296300.46,2727595.598,10207,T,354547,88838,265709,0
5,2015,44554905.36,2743472.439,10639,T,354883,88923,265960,0
6,2015,44296300.46,2727595.598,10783,T,355218,89007,266211,445.75
7,2015,44102346.79,2715687.968,10855,T,355554,89091,266463,445.75
8,2015,43714439.44,2691872.706,10927,T,355889,89175,266714,445.75
9,2015,43701509.2,2691078.864,10927,T,356225,89259,266966,445.75
10,2015,43442904.3,2675202.024,10927,T,356560,89343,267217,0
11,2015,43248950.63,2663294.393,10927,T,356896,89427,267469,0
12,2015,41878344.68,2579147.137,10927,T,357231,89511,267720,0
1,2016,39169521.86,2408903.337,10927,T,357568,89595,267972,0
2,2016,39040219.42,2400964.917,10927,T,357904,89680,268224,0
3,2016,39169521.86,2408903.337,10927,T,358241,89764,268477,0
4,2016,39298824.31,2416841.757,10783,T,358577,89848,268729,0
5,2016,39557429.21,2432718.598,10543,T,358913,89933,268981,0
6,2016,39298824.31,2416841.757,10519,T,359250,90017,269233,687.25
7,2016,39104870.64,2404934.127,10495,T,359586,90101,269485,687.25
8,2016,38716963.3,2381118.866,10495,T,359922,90185,269737,687.25
9,2016,38523009.62,2380325.024,10495,T,360259,90270,269989,687.25
10,2016,38264404.73,2380325.024,10495,T,360595,90354,270241,0
11,2016,38070451.06,2368417.393,10495,T,360932,90438,270493,0
12,2016,40268592.67,2411284.863,10495,T,361268,90523,270746,0
1,2017,43756325.61,2576651.42,10495,T,361608,90608,271000,0
2,2017,43627023.17,2568713,10495,T,361948,90693,271255,0
3,2017,43885628.06,2584589.841,10495,T,362289,90778,271510,0
