Month,Year ,Ward,Population,Connection ,mnth_sin,mnth_cos,Rain
1,2029,T,410207,10918,0.00E+00,1.00E+00,28.00058
2,2029,T,410544,10935,5.00E-01,8.66E-01,28.00058
3,2029,T,410881,10952,8.66E-01,5.00E-01,28.00058
4,2029,T,411218,10969,1.00E+00,6.12E-17,28.00058
5,2029,T,411554,10986,8.66E-01,-5.00E-01,28.00058
6,2029,T,411891,11004,5.00E-01,-8.66E-01,28.00058
7,2029,T,412228,11021,1.22E-16,-1.00E+00,28.00058
8,2029,T,412565,11038,-5.00E-01,-8.66E-01,28.00058
9,2029,T,412901,11055,-1.00E+00,-1.84E-16,28.00058
10,2029,T,413238,11072,-8.66E-01,5.00E-01,28.00058
11,2029,T,413575,11089,-5.00E-01,8.66E-01,28.00058
12,2029,T,413912,11106,0.00E+00,1.00E+00,28.00058
