ABM - Aqua Super,,,,,,,,,
,,,Municipal Corporation of Greater Mumbai,,,,,Date :,02-05-2015
,,,Hydraulic Engineer's Department,,,,,,
,,,WARD WISE DEMAND REPORT FROM 01/04/2014 To 31/03/2015,,,,,,
WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,TOTAL DEMAND,COMSUMPTION,
A-ward,30727,4342,519736912,266115342,2091770,60572578,848516602,24270249,
B-ward,8013,1277,129926466,24629722,385765,9446630,164388583,4115879,
C-ward,10565,2141,50667553,30032098,903270,5581993,87184914,2473104,
D-ward,40832,6996,312625500,164612517,3369805,64155535,544763677,24620804,
E-ward,18773,3143,265416489,122143809,1235920,82936428,471720389,18282454,
F/North-ward,53576,11686,230115168,131139163,1631755,69159008,432045094,29451036,
F/South-ward,22174,3884,238201327,103705813,794465,35971441,378673046,19907064,
G/North-ward,37846,8395,195985151,113388393,1650525,52842254,363866323,21480600,
G/South-ward,22629,4075,272351435,152962559,302290,43142541,468758825,18283192,
H/East-ward,101847,23982,309032858,161119770,2740895,110648687,583542225,31454260,
H/West-ward,67152,15585,226540796,135924531,6718915,29843543,399027785,25905338,
J-Tansa,204,17,1217593,0,0,984522,2202115,424808,
J-Vaitarna,33,5,57160,0,0,65746,122906,43891,
J-ward,996,84,239137866,1174,0,31899556,271038596,48918674,
K/East-ward,112652,26467,645502642,383309896,5029285,69637823,1103479646,58154276,
K/West-ward,94718,21550,479436568,287661813,4665355,74774545,846538281,57144524,
L-ward,105466,24853,356354119,200994842,1379680,152960633,711689274,46370102,
M/East-ward,80028,19631,454035391,133468463,674440,109582641,697760935,34241263,
M/West-ward,72617,17814,648962415,349994152,2923330,55343153,1057221638,34916785,
N-ward,58004,13313,281546237,168554159,1708885,41688939,493498220,36898785,
P/North-ward,100595,26454,257988601,154669352,2810855,37449147,452917955,41237742,
P/South-ward,52758,11325,287311744,171313452,2200295,40277254,501102745,32218236,
R/Central-ward,59293,14040,266410437,156647213,2161100,33307024,458525774,40120573,
R/North-ward,47773,11817,157279482,94262017,1171910,11058244,263771653,24971203,
R/South-ward,79665,19570,253826027,151503613,1756265,38766193,445852098,40755875,
S-ward,89525,21309,321656634,191819405,1297240,32581063,547354342,47748749,
T-ward,44533,9740,265663498,154993530,4045090,32134430,456836548,31955825,
WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,TOTAL DEMAND,COMSUMPTION
GRAND TOTAL:,1412994,323495,7666986069,4004966798,53649105,1326811551,13052400189,796365291
