ABM - Aqua Super,,,,,Date :,,,,01-04-2019
Municipal Corporation of Greater Mumbai,,,,,,,,,
Hydraulic Engineer's Department,,,,,,,,,
WARD WISE DEMAND REPORT FROM 01/04/2018 To 31/03/2019,,,,,,,,,
WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,ADJ.AMT,TOTAL DEMAND,COMSUMPTION
A-ward,30178,4617,532782263,345039279,1348100,95590553,7488016,974760195,21110237
B-ward,7721,1259,109579882,31344567,529050,17101845,262723,158555344,3347634
C-ward,10767,2272,51906983,35868810,998345,12510375,380216,101284513,2293452
D-ward,41254,7167,368428136,226876203,2773700,72053336,4180044,670131375,24901515
E-ward,18659,3825,321422549,169609561,1196225,147773642,6020183,640001977,19166379
F/North-ward,49805,11732,277689122,183368771,996650,112670475,3011639,574725018,28719919
F/South-ward,21063,4686,270245487,178832216,628920,90695209,2083984,540401832,20068319
G/North-ward,44829,11100,242078728,155288491,1543150,155709157,2367862,554619526,21030815
G/South-ward,22352,4059,359746084,238473082,382665,116268659,2033985,714832766,20550705
H/East-ward,107251,28023,435686081,264279305,2122910,253445940,2024856,955534236,34105330
H/West-ward,70527,17374,264593663,185112743,7281110,51229484,5084891,508217000,25976756
J-Tansa,231,20,5246191,0,0,2016508,542,7262699,2564392
J-Vaitarna,56,5,102720,0,0,198386,0,301106,73049
J-ward,1198,102,258023071,0,0,51238575,19628,309261646,51406960
K/East-ward,120368,28715,856431754,592565180,5076925,158671980,11296156,1612745839,59912818
K/West-ward,97619,23218,589531172,411786906,3120115,111736689,7793129,1116174882,56491044
L-ward,103205,27059,396657408,261786094,1744485,233890560,1371893,894078547,43944392
M/East-ward,118738,28818,532742849,182941382,577890,209835376,1607943,926097497,36589209
M/West-ward,72589,17973,561185915,358328740,3127305,97645366,4543724,1020287326,30430963
N-ward,58925,14472,324648425,225851248,2269985,87368319,3094390,640137977,34989137
P/North-ward,133449,32559,392023066,274200701,2829050,71863397,4678292,740916214,51542370
P/South-ward,56977,13860,363672655,253127981,1719325,79704423,3183839,698224384,32868916
R/Central-ward,58035,15000,326001099,223782165,1610615,57090052,3287210,608483931,39433111
R/North-ward,50961,12743,203037727,141919998,1145355,15387696,1181146,361490776,26123381
R/South-ward,89854,22722,330045537,230023743,1391535,87668457,5369451,649129272,44457763
S-ward,101094,25380,406103573,282165775,1998405,72412908,2488101,762680661,50768226
T-ward,45084,10208,297529538,202180161,3823660,51370373,3315783,554903732,31653726

WARD,BILL COUNT,CCN COUNT,W.CHRG,S.CHRG,M.RENT,ADDL.CHRG,ADJ.AMT,TOTAL DEMAND,COMSUMPTION
GRAND,1532789,368968,9077141678,5654753102,50235475,2513147740,88169626,17295240271,814520518
