WARD,TOTAL DEMAND,CONSUMPTION,,,,,,,,
,,,,,,,,,,
A-ward,929474286,24090634,,,,,,,,
B-ward,173508603,4079591,,,,,,,,
C-ward,110329034,2841368,,,,,,,,
D-ward,651004866,27189191,,,,,,,,
E-ward,503007992,17311394,,,,,,,,
F/North-ward,448395081,26423762,,,,,,,,
F/South-ward,368427539,17733516,,,,,,,,
G/North-ward,415177247,22707953,,,,,,,,
G/South-ward,517310778,18852474,,,,,,,,
H/East-ward,721944779,33768906,,,,,,,,
H/West-ward,448145921,26309433,,,,,,,,
J-Tansa,3296523,431408,,,,,,,,
J-Vaitarna,226051,104439,,,,,,,,
J-ward,261479753,46698083,,,,,,,,
K/East-ward,1228639152,57758652,,,,,,,,
K/West-ward,935288962,55631500,,,,,,,,
L-ward,797755095,46216959,,,,,,,,
M/East-ward,769580955,33983042,,,,,,,,
M/West-ward,1150977388,34704959,,,,,,,,
N-ward,571433166,38137505,,,,,,,,
P/North-ward,606819160,48903300,,,,,,,,
P/South-ward,586141646,32374199,,,,,,,,
R/Central-ward,521597034,40191299,,,,,,,,
R/North-ward,287652074,24616407,,,,,,,,
R/South-ward,529394883,44296360,,,,,,,,
S-ward,590592877,47071219,,,,,,,,
T-ward,525349088,32350103,,,,,,,,
