WARD,TOTAL DEMAND,CONSUMPTION,,,,,,,,
,,,,,,,,,,
A-ward,848536386,24270533,,,,,,,,
B-ward,164388583,4115879,,,,,,,,
C-ward,87184914,2470984,,,,,,,,
D-ward,544763357,24620804,,,,,,,,
E-ward,471720389,18282454,,,,,,,,
F/North-ward,432045094,29451036,,,,,,,,
F/South-ward,378673046,19907064,,,,,,,,
G/North-ward,363866323,21480600,,,,,,,,
G/South-ward,468758825,18283192,,,,,,,,
H/East-ward,583542210,31454260,,,,,,,,
H/West-ward,399027785,25905338,,,,,,,,
J-Tansa,2202115,424808,,,,,,,,
J-Vaitarna,122906,43891,,,,,,,,
J-ward,271038596,48918674,,,,,,,,
K/East-ward,1103479646,58154276,,,,,,,,
K/West-ward,846537783,57144452,,,,,,,,
L-ward,711689274,46370102,,,,,,,,
M/East-ward,697760935,34241263,,,,,,,,
M/West-ward,1057200710,34914864,,,,,,,,
N-ward,493498220,36898785,,,,,,,,
P/North-ward,452917955,41237742,,,,,,,,
P/South-ward,501102745,32218236,,,,,,,,
R/Central-,458525774,40120573,,,,,,,,
R/North-ward,263765087,24970253,,,,,,,,
R/South-ward,445818358,40750610,,,,,,,,
S-ward,547354342,47748749,,,,,,,,
T-ward,456836548,31955825,,,,,,,,
