WARD,TOTAL DEMAND,CONSUMPTION,,,,,,,,,,
,,,,,,,,,,,,
A-ward,1006619246,23291178,,,,,,,,,,
B-ward,167135705,3518973,,,,,,,,,,
C-ward,109201813,2409774,,,,,,,,,,
D-ward,660662352,25533192,,,,,,,,,,
E-ward,634997320,18962116,,,,,,,,,,
F/North-ward,524971053,27762322,,,,,,,,,,
F/South-ward,652914364,21913532,,,,,,,,,,
G/North-ward,431295906,21015322,,,,,,,,,,
G/South-ward,668052806,21006883,,,,,,,,,,
H/East-ward,861915120,33914473,,,,,,,,,,
H/West-ward,499681038,27035604,,,,,,,,,,
J-Tansa,6516302,2303600,,,,,,,,,,
J-Vaitarna,270071,72817,,,,,,,,,,
J-ward,326464533,51417772,,,,,,,,,,
K/East-ward,1433582254,58799611,,,,,,,,,,
K/West-ward,1045524965,55995195,,,,,,,,,,
L-ward,901597558,46027627,,,,,,,,,,
M/East-ward,955545689,39017591,,,,,,,,,,
M/West-ward,983074119,31594498,,,,,,,,,,
N-ward,636101832,37146535,,,,,,,,,,
P/North-ward,725138005,51809718,,,,,,,,,,
P/South-ward,682499623,34580383,,,,,,,,,,
R/Central-,615449212,42373078,,,,,,,,,,
R/North-ward,343808943,26057416,,,,,,,,,,
R/South-ward,607836077,45263869,,,,,,,,,,
S-ward,807371843,52998398,,,,,,,,,,
T-ward,523524278,30824556,,,,,,,,,,
