Ward,Total Population,Slum Population,Non Slum Population
A,185014,22282,162732
B,127290,12711,114579
C,166161,16571,149590
D,346866,34699,312167
E,393286,124194,269092
F/S,360972,180128,180844
F/N,529034,238128,290906
G/S,377749,124306,253443
G/N,599039,361674,237365
H/E,557239,388923,168316
HW,307581,82552,225029
K/E,823885,572818,251067
K/W,748688,215678,533010
P/S,463507,230829,232678
P/N,941366,708247,233119
R/S,691229,414395,276834
R/C,562162,172849,389313
R/N,431368,281151,150217
L,902225,758108,144117
M/E,807720,685994,121726
M/W,411893,164992,246901
N,622853,249229,373624
S,743783,408442,335341
T,341463,85560,255903
,,,
,,,
,,,
,,,
