WARD,TOTAL DEMAND,CONSUMPTION,,,,,,,,,,
,,,,,,,,,,,,
A-ward,974760195,21110237,,,,,,,,,,
B-ward,158555344,3347634,,,,,,,,,,
C-ward,101284513,2293452,,,,,,,,,,
D-ward,670131375,24901515,,,,,,,,,,
E-ward,640001977,19166379,,,,,,,,,,
F/North-ward,574725018,28719919,,,,,,,,,,
F/South-ward,540401832,20068319,,,,,,,,,,
G/North-ward,554619526,21030815,,,,,,,,,,
G/South-ward,714870490,20550705,,,,,,,,,,
H/East-ward,955534236,34105330,,,,,,,,,,
H/West-ward,508217000,25976756,,,,,,,,,,
J-Tansa,7262699,2564392,,,,,,,,,,
J-Vaitarna,301106,73049,,,,,,,,,,
J-ward,309261646,51406960,,,,,,,,,,
K/East-ward,1612745839,59912818,,,,,,,,,,
K/West-ward,1116174882,56491044,,,,,,,,,,
L-ward,894078547,43944392,,,,,,,,,,
M/East-ward,926097497,36589209,,,,,,,,,,
M/West-ward,1020287326,30430963,,,,,,,,,,
N-ward,640137977,34989137,,,,,,,,,,
P/North-ward,740916214,51542370,,,,,,,,,,
P/South-ward,698224384,32868916,,,,,,,,,,
R/Central-,608483931,39433111,,,,,,,,,,
R/North-ward,361490776,26123381,,,,,,,,,,
R/South-ward,649129272,44457763,,,,,,,,,,
S-ward,762671661,50767000,,,,,,,,,,
T-ward,554903732,31653726,,,,,,,,,,
